BANK,LOAN_YEAR,LOAN_MONTH,STATUS,ACCOUNT_ID,ACCOUNT_TYPE,LOAN_AMOUNT
nanital BANK,2021,3,Running Contract,9560,NRI account,8481672
nanital BANK,2021,3,Running Contract,10404,Savings account,11656800
nanital BANK,2021,4,Running Contract,38,Salary account,5979744
nanital BANK,2021,4,Running Contract,1004,Salary account,14705496
nanital BANK,2021,4,Running Contract,1083,Salary account,2956608
nanital BANK,2021,4,Running Contract,2720,NRI account,6572160
nanital BANK,2021,4,Running Contract,2982,Savings account,2310336
nanital BANK,2021,4,Running Contract,5572,Salary account,7607520
nanital BANK,2021,4,Running Contract,6062,Salary account,19281600
nanital BANK,2021,4,Running Contract,6495,Savings account,5668056
nanital BANK,2021,4,Running Contract,7156,NRI account,2672352
nanital BANK,2021,4,Running Contract,7437,Salary account,5979744
nanital BANK,2021,4,Running Contract,7990,Salary account,10437120
nanital BANK,2021,4,Running Contract,8784,Salary account,4758528
nanital BANK,2021,4,Running Contract,9227,NRI account,11877960
nanital BANK,2021,4,Running Contract,9646,NRI account,21209472
nanital BANK,2021,4,Running Contract,10774,Savings account,18993408
nanital BANK,2021,5,Running Contract,303,Savings account,6314112
nanital BANK,2021,5,Running Contract,938,Savings account,1001700
nanital BANK,2021,5,Running Contract,1776,Savings account,2678400
nanital BANK,2021,5,Running Contract,2622,Savings account,8589672
nanital BANK,2021,5,Running Contract,3143,NRI account,8246448
nanital BANK,2021,5,Running Contract,3460,Salary account,7034400
nanital BANK,2021,5,Running Contract,3562,Savings account,14171760
nanital BANK,2021,5,Running Contract,4533,NRI account,6816096
nanital BANK,2021,5,Running Contract,6061,Savings account,314028
nanital BANK,2021,5,Running Contract,6453,Savings account,623808
nanital BANK,2021,5,Running Contract,7049,NRI account,23273460
nanital BANK,2021,5,Running Contract,7181,NRI account,3790272
nanital BANK,2021,5,Running Contract,7721,Salary account,2454624
nanital BANK,2021,5,Running Contract,7733,NRI account,8683968
nanital BANK,2021,5,Running Contract,10652,Salary account,2331720
nanital BANK,2021,5,Running Contract,10812,Savings account,7034400
nanital BANK,2021,6,Running Contract,2279,Salary account,15419712
nanital BANK,2021,6,Running Contract,2728,Salary account,10010880
nanital BANK,2021,6,Running Contract,3005,NRI account,23010000
nanital BANK,2021,6,Running Contract,3161,Salary account,2160864
nanital BANK,2021,6,Running Contract,3403,NRI account,5242860
nanital BANK,2021,6,Running Contract,4116,NRI account,10130400
nanital BANK,2021,6,Running Contract,4144,Salary account,10861776
nanital BANK,2021,6,Running Contract,5912,Salary account,8123280
nanital BANK,2021,6,Running Contract,5944,Savings account,4880640
nanital BANK,2021,6,Running Contract,7099,NRI account,10310784
nanital BANK,2021,6,Running Contract,8639,Salary account,11880960
nanital BANK,2021,6,Running Contract,8919,NRI account,5175072
nanital BANK,2021,6,Running Contract,9159,Savings account,5080800
nanital BANK,2021,6,Running Contract,9491,Salary account,10373184
nanital BANK,2021,6,Running Contract,10644,NRI account,17007732
nanital BANK,2021,6,Running Contract,10915,NRI account,6403320
nanital BANK,2021,7,Running Contract,226,Salary account,6232608
nanital BANK,2021,7,Running Contract,330,Salary account,19231872
nanital BANK,2021,7,Running Contract,993,NRI account,7175520
nanital BANK,2021,7,Running Contract,2000,Salary account,19194120
nanital BANK,2021,7,Running Contract,2055,Savings account,11664180
nanital BANK,2021,7,Running Contract,2988,Salary account,5493696
nanital BANK,2021,7,Running Contract,3916,NRI account,3103488
nanital BANK,2021,7,Running Contract,5180,Salary account,2938200
nanital BANK,2021,7,Running Contract,6706,Savings account,3761880
nanital BANK,2021,7,Running Contract,7559,NRI account,793104
nanital BANK,2021,7,Running Contract,8713,Savings account,11949000
nanital BANK,2021,7,Running Contract,10005,Salary account,8640504
nanital BANK,2021,7,Running Contract,10645,Salary account,12083256
nanital BANK,2021,7,Running Contract,10799,Salary account,1961820
nanital BANK,2021,7,Running Contract,11328,NRI account,22435200
nanital BANK,2021,8,Running Contract,1718,Salary account,7752240
nanital BANK,2021,8,Running Contract,2699,NRI account,13870080
nanital BANK,2021,8,Running Contract,2910,NRI account,18373320
nanital BANK,2021,8,Running Contract,4467,Salary account,3447360
nanital BANK,2021,8,Running Contract,10613,Salary account,13238976
nanital BANK,2021,9,Running Contract,349,NRI account,2483328
nanital BANK,2021,9,Running Contract,1068,NRI account,14179200
nanital BANK,2021,9,Running Contract,1389,Salary account,9033984
nanital BANK,2021,9,Running Contract,1808,Salary account,31232304
nanital BANK,2021,9,Running Contract,1876,Savings account,11497200
nanital BANK,2021,9,Running Contract,3137,Savings account,12424440
nanital BANK,2021,9,Running Contract,3556,Salary account,10490400
nanital BANK,2021,9,Running Contract,3862,Salary account,6667524
nanital BANK,2021,9,Running Contract,5283,Savings account,9054096
nanital BANK,2021,9,Running Contract,9037,Salary account,24467136
nanital BANK,2021,9,Running Contract,9673,NRI account,4674600
nanital BANK,2021,9,Running Contract,10243,NRI account,10889856
nanital BANK,2021,9,Running Contract,10257,NRI account,2684652
nanital BANK,2021,9,Running Contract,11327,NRI account,2154240
nanital BANK,2021,10,Running Contract,1318,Salary account,6679584
nanital BANK,2021,10,Running Contract,1498,NRI account,15417540
nanital BANK,2021,10,Running Contract,1656,Salary account,10438560
nanital BANK,2021,10,Running Contract,2073,Savings account,2901600
nanital BANK,2021,10,Running Contract,2413,Savings account,969408
nanital BANK,2021,10,Running Contract,4354,NRI account,20970240
nanital BANK,2021,10,Running Contract,6505,Savings account,1385856
nanital BANK,2021,10,Running Contract,9208,NRI account,6980880
nanital BANK,2021,10,Running Contract,9433,Salary account,2901600
nanital BANK,2021,11,Running Contract,309,NRI account,6296112
nanital BANK,2021,11,Running Contract,2725,NRI account,4734432
nanital BANK,2021,11,Running Contract,3293,Salary account,18497628
nanital BANK,2021,11,Running Contract,4268,Savings account,2981148
nanital BANK,2021,11,Running Contract,5698,NRI account,7441200
nanital BANK,2021,11,Running Contract,7180,Salary account,5685408
nanital BANK,2021,11,Running Contract,9140,Salary account,1266528
nanital BANK,2021,11,Running Contract,11317,Savings account,27301560
nanital BANK,2021,12,Running Contract,105,Savings account,15518976
nanital BANK,2021,12,Running Contract,276,Savings account,6436800
nanital BANK,2021,12,Running Contract,1284,NRI account,3938400
nanital BANK,2021,12,Running Contract,1928,NRI account,3115392
nanital BANK,2021,12,Running Contract,2262,Savings account,22331340
nanital BANK,2021,12,Running Contract,6922,Savings account,8648256
nanital BANK,2021,12,Running Contract,8645,Savings account,19031100
nanital BANK,2021,12,Running Contract,9156,Savings account,9309924
nothern BANK,2021,1,Running Contract,1407,Salary account,7402848
nothern BANK,2021,1,Running Contract,1480,Savings account,9124200
nothern BANK,2021,1,Running Contract,1638,Savings account,2183616
nothern BANK,2021,1,Running Contract,1819,Savings account,5890716
nothern BANK,2021,1,Running Contract,1869,Savings account,2694024
nothern BANK,2021,1,Running Contract,2035,Salary account,10050696
nothern BANK,2021,1,Running Contract,2936,Savings account,30744000
nothern BANK,2021,1,Running Contract,3953,Savings account,1589400
nothern BANK,2021,1,Running Contract,4550,Salary account,3127320
nothern BANK,2021,1,Running Contract,4616,Salary account,867048
nothern BANK,2021,1,Running Contract,5133,Salary account,3024180
nothern BANK,2021,1,Running Contract,7240,Savings account,8368800
nothern BANK,2021,1,Running Contract,7632,Salary account,10908672
nothern BANK,2021,1,Running Contract,7636,Savings account,3475488
nothern BANK,2021,1,Running Contract,8038,NRI account,2438208
nothern BANK,2021,1,Running Contract,8926,Salary account,26632080
nothern BANK,2021,1,Running Contract,10022,Salary account,5451600
nothern BANK,2021,1,Running Contract,10134,NRI account,6545664
nothern BANK,2021,1,Running Contract,10148,Savings account,1171512
nothern BANK,2021,1,Running Contract,10345,Savings account,2219460
nothern BANK,2021,1,Running Contract,10445,Salary account,1709076
nothern BANK,2021,1,Running Contract,10478,Salary account,23816400
nothern BANK,2021,2,Running Contract,785,Savings account,2185344
nothern BANK,2021,2,Running Contract,873,Salary account,6247500
nothern BANK,2021,2,Running Contract,2545,Savings account,26155824
nothern BANK,2021,2,Running Contract,3875,NRI account,769680
nothern BANK,2021,2,Running Contract,4456,Savings account,34051440
nothern BANK,2021,2,Running Contract,7082,Salary account,12426240
nothern BANK,2021,2,Running Contract,7713,Savings account,9478920
nothern BANK,2021,2,Running Contract,7997,Salary account,11727888
nothern BANK,2021,2,Running Contract,8523,NRI account,6605556
nothern BANK,2021,2,Running Contract,9179,Salary account,12042240
nothern BANK,2021,2,Running Contract,9201,Savings account,8205624
nothern BANK,2021,2,Running Contract,9455,NRI account,19487520
nothern BANK,2021,2,Running Contract,10493,Savings account,7760400
nothern BANK,2021,2,Running Contract,10650,NRI account,1766016
nothern BANK,2021,3,Running Contract,440,Savings account,4720128
nothern BANK,2021,3,Running Contract,2142,Salary account,326592
nothern BANK,2021,3,Running Contract,3390,Savings account,1869072
nothern BANK,2021,3,Running Contract,3906,NRI account,5688540
nothern BANK,2021,3,Running Contract,3907,Salary account,6826248
nothern BANK,2021,3,Running Contract,5164,Savings account,737748
nothern BANK,2021,3,Running Contract,5305,Salary account,12747984
nothern BANK,2021,3,Running Contract,7274,NRI account,539484
nothern BANK,2021,3,Running Contract,9153,Savings account,3604284
nothern BANK,2021,3,Running Contract,9167,NRI account,13338780
nothern BANK,2021,3,Running Contract,9560,NRI account,2356020
nothern BANK,2021,3,Running Contract,10404,Savings account,11073960
nothern BANK,2021,4,Running Contract,38,Salary account,1439568
nothern BANK,2021,4,Running Contract,1004,Salary account,19418796
nothern BANK,2021,4,Running Contract,1083,Salary account,3058560
nothern BANK,2021,4,Running Contract,2720,NRI account,4694400
nothern BANK,2021,4,Running Contract,2982,Savings account,2887920
nothern BANK,2021,4,Running Contract,5572,Salary account,2535840
nothern BANK,2021,4,Running Contract,6062,Salary account,22173840
nothern BANK,2021,4,Running Contract,6495,Savings account,7032588
nothern BANK,2021,4,Running Contract,7156,NRI account,395904
nothern BANK,2021,4,Running Contract,7437,Salary account,1439568
nothern BANK,2021,4,Running Contract,7990,Salary account,11886720
nothern BANK,2021,4,Running Contract,8784,Salary account,4609824
nothern BANK,2021,4,Running Contract,9227,NRI account,1532640
nothern BANK,2021,4,Running Contract,9646,NRI account,13953600
nothern BANK,2021,4,Running Contract,10774,Savings account,8479200
nothern BANK,2021,5,Running Contract,303,Savings account,7554384
nothern BANK,2021,5,Running Contract,938,Savings account,22260
nothern BANK,2021,5,Running Contract,1776,Savings account,820800
nothern BANK,2021,5,Running Contract,2622,Savings account,9407736
nothern BANK,2021,5,Running Contract,3143,NRI account,8115552
nothern BANK,2021,5,Running Contract,3460,Salary account,8019216
nothern BANK,2021,5,Running Contract,3562,Savings account,12247200
nothern BANK,2021,5,Running Contract,4533,NRI account,973728
nothern BANK,2021,5,Running Contract,6061,Savings account,211068
nothern BANK,2021,5,Running Contract,6453,Savings account,711360
nothern BANK,2021,5,Running Contract,7049,NRI account,2971080
nothern BANK,2021,5,Running Contract,7181,NRI account,3092064
nothern BANK,2021,5,Running Contract,7721,Salary account,772752
nothern BANK,2021,5,Running Contract,7733,NRI account,9944544
nothern BANK,2021,5,Running Contract,10652,Salary account,1508760
nothern BANK,2021,5,Running Contract,10812,Savings account,8019216
nothern BANK,2021,6,Running Contract,2279,Salary account,18566592
nothern BANK,2021,6,Running Contract,2728,Salary account,3597660
nothern BANK,2021,6,Running Contract,3005,NRI account,4680000
nothern BANK,2021,6,Running Contract,3161,Salary account,1590636
nothern BANK,2021,6,Running Contract,3403,NRI account,2944620
nothern BANK,2021,6,Running Contract,4116,NRI account,1058400
nothern BANK,2021,6,Running Contract,4144,Salary account,18741888
nothern BANK,2021,6,Running Contract,5912,Salary account,9231000
nothern BANK,2021,6,Running Contract,5944,Savings account,2204160
nothern BANK,2021,6,Running Contract,7099,NRI account,14528832
nothern BANK,2021,6,Running Contract,8639,Salary account,2413320
nothern BANK,2021,6,Running Contract,8919,NRI account,2435328
nothern BANK,2021,6,Running Contract,9159,Savings account,5916000
nothern BANK,2021,6,Running Contract,9491,Salary account,14432256
nothern BANK,2021,6,Running Contract,10644,NRI account,4859352
nothern BANK,2021,6,Running Contract,10915,NRI account,5183640
nothern BANK,2021,7,Running Contract,226,Salary account,5139168
nothern BANK,2021,7,Running Contract,330,Salary account,20226624
nothern BANK,2021,7,Running Contract,993,NRI account,2935440
nothern BANK,2021,7,Running Contract,2000,Salary account,5234760
nothern BANK,2021,7,Running Contract,2055,Savings account,9494100
nothern BANK,2021,7,Running Contract,2988,Salary account,8151936
nothern BANK,2021,7,Running Contract,3916,NRI account,678888
nothern BANK,2021,7,Running Contract,5180,Salary account,1057752
nothern BANK,2021,7,Running Contract,6706,Savings account,3632160
nothern BANK,2021,7,Running Contract,7559,NRI account,383760
nothern BANK,2021,7,Running Contract,8713,Savings account,5462400
nothern BANK,2021,7,Running Contract,10005,Salary account,632232
nothern BANK,2021,7,Running Contract,10645,Salary account,11041596
nothern BANK,2021,7,Running Contract,10799,Salary account,404820
nothern BANK,2021,7,Running Contract,11328,NRI account,14863320
nothern BANK,2021,8,Running Contract,1718,Salary account,1378176
nothern BANK,2021,8,Running Contract,2699,NRI account,11558400
nothern BANK,2021,8,Running Contract,2910,NRI account,2187300
nothern BANK,2021,8,Running Contract,4467,Salary account,2585520
nothern BANK,2021,8,Running Contract,10613,Salary account,999168
nothern BANK,2021,9,Running Contract,349,NRI account,1284480
nothern BANK,2021,9,Running Contract,1068,NRI account,10887600
nothern BANK,2021,9,Running Contract,1389,Salary account,4015104
nothern BANK,2021,9,Running Contract,1808,Salary account,5398176
nothern BANK,2021,9,Running Contract,1876,Savings account,2090400
nothern BANK,2021,9,Running Contract,3137,Savings account,12170880
nothern BANK,2021,9,Running Contract,3556,Salary account,1573560
nothern BANK,2021,9,Running Contract,3862,Salary account,5169204
nothern BANK,2021,9,Running Contract,5283,Savings account,1366656
nothern BANK,2021,9,Running Contract,9037,Salary account,23823264
nothern BANK,2021,9,Running Contract,9673,NRI account,1940400
nothern BANK,2021,9,Running Contract,10243,NRI account,3289644
nothern BANK,2021,9,Running Contract,10257,NRI account,2193096
nothern BANK,2021,9,Running Contract,11327,NRI account,274176
nothern BANK,2021,10,Running Contract,1318,Salary account,185544
nothern BANK,2021,10,Running Contract,1498,NRI account,5470740
nothern BANK,2021,10,Running Contract,1656,Salary account,8161056
nothern BANK,2021,10,Running Contract,2073,Savings account,580320
nothern BANK,2021,10,Running Contract,2413,Savings account,125664
nothern BANK,2021,10,Running Contract,4354,NRI account,18021300
nothern BANK,2021,10,Running Contract,6505,Savings account,346464
nothern BANK,2021,10,Running Contract,9208,NRI account,2956608
nothern BANK,2021,10,Running Contract,9433,Salary account,580320
nothern BANK,2021,11,Running Contract,309,NRI account,3284928
nothern BANK,2021,11,Running Contract,2725,NRI account,2715336
nothern BANK,2021,11,Running Contract,3293,Salary account,4417344
nothern BANK,2021,11,Running Contract,4268,Savings account,2057412
nothern BANK,2021,11,Running Contract,5698,NRI account,992160
nothern BANK,2021,11,Running Contract,7180,Salary account,1895136
nothern BANK,2021,11,Running Contract,9140,Salary account,272544
nothern BANK,2021,11,Running Contract,11317,Savings account,11428560
nothern BANK,2021,12,Running Contract,105,Savings account,4585152
nothern BANK,2021,12,Running Contract,276,Savings account,321840
nothern BANK,2021,12,Running Contract,1284,NRI account,630144
nothern BANK,2021,12,Running Contract,1928,NRI account,2058384
nothern BANK,2021,12,Running Contract,2262,Savings account,13813200
nothern BANK,2021,12,Running Contract,6922,Savings account,3347712
nothern BANK,2021,12,Running Contract,8645,Savings account,7227000
nothern BANK,2021,12,Running Contract,9156,Savings account,1796652
Raiffeisen bank,2021,2,Running Contract,9455,NRI account,8244720
Raiffeisen bank,2021,5,Running Contract,7181,NRI account,349104
Raiffeisen bank,2021,6,Running Contract,8919,NRI account,1065456
Sky Bank,2021,1,Running Contract,8038,NRI account,466128
Sky Bank,2021,2,Running Contract,8523,NRI account,372144
J&T Bank,2021,9,Running Contract,1068,NRI account,4557600
J&T Bank,2021,9,Running Contract,11327,NRI account,117504
J&T Bank,2021,10,Running Contract,4354,NRI account,6225540
J&T Bank,2021,11,Running Contract,2725,NRI account,1183608
Kameron bank,2021,1,Running Contract,8038,NRI account,824688
Kameron bank,2021,2,Running Contract,8523,NRI account,930360
Kameron bank,2021,2,Running Contract,9455,NRI account,9743760
Kameron bank,2021,3,Running Contract,9167,NRI account,4083300
Kameron bank,2021,4,Running Contract,2720,NRI account,1596096
Kameron bank,2021,4,Running Contract,9227,NRI account,1915800
Kameron bank,2021,6,Running Contract,3005,NRI account,3900000
Kameron bank,2021,6,Running Contract,7099,NRI account,7264416
Kameron bank,2021,6,Running Contract,10915,NRI account,1067220
Kameron bank,2021,7,Running Contract,3916,NRI account,1066824
Kameron bank,2021,8,Running Contract,2699,NRI account,924672
Kameron bank,2021,9,Running Contract,1068,NRI account,4557600
Kameron bank,2021,12,Running Contract,1284,NRI account,52512
Max bank,2021,2,Running Contract,10650,NRI account,3139584
Max bank,2021,5,Running Contract,7049,NRI account,6932520
Max bank,2021,5,Running Contract,7181,NRI account,1396416
Max bank,2021,6,Running Contract,7099,NRI account,5624064
Max bank,2021,7,Running Contract,3916,NRI account,3588408
Max bank,2021,8,Running Contract,2910,NRI account,5686980
Max bank,2021,11,Running Contract,309,NRI account,91248
Max bank,2021,12,Running Contract,1928,NRI account,1223904
Moneta Money Bank,2021,4,Running Contract,9227,NRI account,1532640
Moneta Money Bank,2021,5,Running Contract,7049,NRI account,3466260
Moneta Money Bank,2021,5,Running Contract,7733,NRI account,4201920
Moneta Money Bank,2021,6,Running Contract,10644,NRI account,3779496
Moneta Money Bank,2021,6,Running Contract,10915,NRI account,2744280
Moneta Money Bank,2021,7,Running Contract,7559,NRI account,76752
Moneta Money Bank,2021,9,Running Contract,9673,NRI account,1323000
Moneta Money Bank,2021,9,Running Contract,10243,NRI account,340308
Moneta Money Bank,2021,12,Running Contract,1928,NRI account,55632
PPF Bank,2021,2,Running Contract,3875,NRI account,1539360
PPF Bank,2021,2,Running Contract,9455,NRI account,15739920
PPF Bank,2021,4,Running Contract,9227,NRI account,1915800
PPF Bank,2021,5,Running Contract,3143,NRI account,2748816
PPF Bank,2021,5,Running Contract,7181,NRI account,1396416
PPF Bank,2021,6,Running Contract,3005,NRI account,3900000
PPF Bank,2021,6,Running Contract,4116,NRI account,1360800
PPF Bank,2021,6,Running Contract,8919,NRI account,532728
PPF Bank,2021,6,Running Contract,10915,NRI account,2591820
PPF Bank,2021,8,Running Contract,2699,NRI account,4392192
PPF Bank,2021,9,Running Contract,10257,NRI account,151248
PPF Bank,2021,11,Running Contract,2725,NRI account,1113984
Fio bank,2021,1,Running Contract,8038,NRI account,394416
Fio bank,2021,1,Running Contract,10134,NRI account,2454624
Fio bank,2021,2,Running Contract,10650,NRI account,1962240
Fio bank,2021,3,Running Contract,9167,NRI account,4083300
Fio bank,2021,4,Running Contract,9646,NRI account,2232576
Fio bank,2021,6,Running Contract,3403,NRI account,430920
Fio bank,2021,6,Running Contract,7099,NRI account,5624064
Fio bank,2021,8,Running Contract,2699,NRI account,5548032
Fio bank,2021,9,Running Contract,9673,NRI account,352800
Fio bank,2021,11,Running Contract,5698,NRI account,992160
Hypotecni bank,2021,2,Running Contract,10650,NRI account,2158464
Hypotecni bank,2021,3,Running Contract,7274,NRI account,1029924
Hypotecni bank,2021,3,Running Contract,9167,NRI account,4083300
Hypotecni bank,2021,6,Running Contract,10915,NRI account,2591820
Hypotecni bank,2021,7,Running Contract,993,NRI account,652320
Hypotecni bank,2021,8,Running Contract,2910,NRI account,6124440
Hypotecni bank,2021,10,Running Contract,9208,NRI account,82128
Hypotecni bank,2021,11,Running Contract,2725,NRI account,1322856
J&T Bank,2021,5,Running Contract,4533,NRI account,649152
J&T Bank,2021,6,Running Contract,3005,NRI account,2730000
J&T Bank,2021,6,Running Contract,10915,NRI account,2591820
J&T Bank,2021,8,Running Contract,2699,NRI account,4392192
Sky Bank,2021,2,Running Contract,9455,NRI account,1499040
Sky Bank,2021,4,Running Contract,9646,NRI account,1674432
Sky Bank,2021,5,Running Contract,3143,NRI account,916272
Sky Bank,2021,5,Running Contract,7181,NRI account,1745520
Sky Bank,2021,5,Running Contract,7733,NRI account,2801280
Sky Bank,2021,6,Running Contract,7099,NRI account,2109024
Sky Bank,2021,7,Running Contract,993,NRI account,434880
Sky Bank,2021,7,Running Contract,11328,NRI account,1682640
Sky Bank,2021,8,Running Contract,2699,NRI account,231168
Trinity Bank,2021,1,Running Contract,10134,NRI account,1636416
Trinity Bank,2021,3,Running Contract,3906,NRI account,9369360
Trinity Bank,2021,3,Running Contract,9560,NRI account,1413612
Trinity Bank,2021,5,Running Contract,7733,NRI account,1120512
Trinity Bank,2021,6,Running Contract,7099,NRI account,6561408
Trinity Bank,2021,6,Running Contract,10644,NRI account,4859352
Trinity Bank,2021,7,Running Contract,3916,NRI account,581904
UniCredit Bank,2021,2,Running Contract,3875,NRI account,2155104
UniCredit Bank,2021,3,Running Contract,9167,NRI account,2722200
UniCredit Bank,2021,4,Running Contract,7156,NRI account,1187712
UniCredit Bank,2021,6,Running Contract,4116,NRI account,1058400
UniCredit Bank,2021,9,Running Contract,9673,NRI account,1675800
UniCredit Bank,2021,10,Running Contract,4354,NRI account,655320
Air Bank,2021,2,Running Contract,9455,NRI account,4122360
Air Bank,2021,4,Running Contract,2720,NRI account,1596096
Air Bank,2021,6,Running Contract,10915,NRI account,3354120
Air Bank,2021,7,Running Contract,7559,NRI account,179088
Air Bank,2021,7,Running Contract,11328,NRI account,1402200
Air Bank,2021,9,Running Contract,349,NRI account,171264
Air Bank,2021,9,Running Contract,1068,NRI account,4557600
Air Bank,2021,9,Running Contract,10257,NRI account,680616
Air Bank,2021,9,Running Contract,11327,NRI account,352512
Bank Creditas,2021,4,Running Contract,2720,NRI account,751104
Bank Creditas,2021,6,Running Contract,8919,NRI account,1065456
Bank Creditas,2021,6,Running Contract,10644,NRI account,1619784
Bank Creditas,2021,9,Running Contract,349,NRI account,599424
Bank Creditas,2021,9,Running Contract,1068,NRI account,759600
Bank Creditas,2021,10,Running Contract,1498,NRI account,331560
Czech export bank,2021,2,Running Contract,8523,NRI account,2325900
Czech export bank,2021,3,Running Contract,9560,NRI account,1413612
Czech export bank,2021,5,Running Contract,3143,NRI account,916272
Czech export bank,2021,5,Running Contract,4533,NRI account,892584
Czech export bank,2021,5,Running Contract,7181,NRI account,2792832
Czech export bank,2021,8,Running Contract,2910,NRI account,3937140
Czech export bank,2021,10,Running Contract,9208,NRI account,1560432
Czech export bank,2021,11,Running Contract,5698,NRI account,99216
Raiffeisen bank,2021,1,Running Contract,7636,Savings account,466224
Raiffeisen bank,2021,3,Running Contract,3390,Savings account,1625280
Raiffeisen bank,2021,4,Running Contract,2982,Savings account,1113912
Raiffeisen bank,2021,5,Running Contract,303,Savings account,2818800
Raiffeisen bank,2021,5,Running Contract,6061,Savings account,36036
Raiffeisen bank,2021,5,Running Contract,6453,Savings account,350208
Raiffeisen bank,2021,7,Running Contract,2055,Savings account,1356300
Raiffeisen bank,2021,9,Running Contract,5283,Savings account,683328
Raiffeisen bank,2021,10,Running Contract,2073,Savings account,133920
Raiffeisen bank,2021,10,Running Contract,2413,Savings account,179520
Raiffeisen bank,2021,11,Running Contract,11317,Savings account,4761900
Raiffeisen bank,2021,12,Running Contract,6922,Savings account,2650272
Raiffeisen bank,2021,12,Running Contract,8645,Savings account,3131700
Sky Bank,2021,1,Running Contract,1480,Savings account,1109700
Sky Bank,2021,1,Running Contract,1638,Savings account,449568
Sky Bank,2021,1,Running Contract,1819,Savings account,1149408
Sky Bank,2021,1,Running Contract,1869,Savings account,986544
Sky Bank,2021,1,Running Contract,2936,Savings account,19656000
Sky Bank,2021,1,Running Contract,7240,Savings account,4108320
Sky Bank,2021,1,Running Contract,7636,Savings account,678144
Sky Bank,2021,1,Running Contract,10345,Savings account,1219140
Sky Bank,2021,2,Running Contract,2545,Savings account,1286352
Sky Bank,2021,2,Running Contract,4456,Savings account,6424800
Sky Bank,2021,2,Running Contract,7713,Savings account,3086160
J&T Bank,2021,11,Running Contract,11317,Savings account,317460
J&T Bank,2021,12,Running Contract,2262,Savings account,230220
J&T Bank,2021,12,Running Contract,8645,Savings account,240900
Kameron bank,2021,1,Running Contract,1638,Savings account,706464
Kameron bank,2021,1,Running Contract,3953,Savings account,572184
Kameron bank,2021,2,Running Contract,2545,Savings account,9004464
Kameron bank,2021,2,Running Contract,9201,Savings account,1347192
Kameron bank,2021,2,Running Contract,10493,Savings account,2542200
Kameron bank,2021,3,Running Contract,10404,Savings account,11462520
Kameron bank,2021,4,Running Contract,2982,Savings account,330048
Kameron bank,2021,4,Running Contract,10774,Savings account,4748352
Kameron bank,2021,5,Running Contract,938,Savings account,155820
Kameron bank,2021,6,Running Contract,5944,Savings account,1574400
