ACCOUNT_ID,BALANCE,BANK
1261,101122,nanital BANK
2506,101094,nanital BANK
41,100992,nanital BANK
2023,100923,nanital BANK
627,100896,nanital BANK
3372,100766,nanital BANK
285,100763,nanital BANK
1519,100619,nanital BANK
816,100607,nanital BANK
3781,100406,nanital BANK
1180,100306,nanital BANK
1634,100118,nanital BANK
1970,100035,nanital BANK
3427,99927,nanital BANK
3167,99723,nanital BANK
3672,99670,nanital BANK
188,99633,nanital BANK
334,99465,nanital BANK
697,99430,nanital BANK
4580,99395,nanital BANK
4659,99086,nanital BANK
3330,99016,nanital BANK
3662,98612,nanital BANK
2581,98535,nanital BANK
3235,98121,nanital BANK
4774,97955,nanital BANK
4851,97884,nanital BANK
1097,97800,nanital BANK
3135,97585,nanital BANK
2930,97539,nanital BANK
17,97515,nanital BANK
990,97505,nanital BANK
2803,97436,nanital BANK
517,97296,nanital BANK
2501,97221,nanital BANK
3861,97154,nanital BANK
645,97114,nanital BANK
5878,97080,nanital BANK
5372,96505,nanital BANK
1861,96496,nanital BANK
278,96478,nanital BANK
3227,95969,nanital BANK
3258,95952,nanital BANK
6636,95751,nanital BANK
9750,95737,nanital BANK
3578,95443,nanital BANK
4354,95369,nanital BANK
2592,95344,nanital BANK
4276,95339,nanital BANK
3580,94994,nanital BANK
3618,94917,nanital BANK
3424,94913,nanital BANK
2634,94834,nanital BANK
772,94819,nanital BANK
2263,94715,nanital BANK
427,94685,nanital BANK
1004,94413,nanital BANK
2375,94226,nanital BANK
3526,93930,nanital BANK
2764,93926,nanital BANK
71,93840,nanital BANK
1991,93822,nanital BANK
3771,93710,nanital BANK
1700,93627,nanital BANK
1410,93501,nanital BANK
453,93291,nanital BANK
408,93277,nanital BANK
478,93238,nanital BANK
1375,93209,nanital BANK
1598,93181,nanital BANK
595,93003,nanital BANK
3674,92695,nanital BANK
2789,92570,nanital BANK
225,92565,nanital BANK
3465,92256,nanital BANK
2971,92243,nanital BANK
3322,92168,nanital BANK
1813,92164,nanital BANK
738,92050,nanital BANK
154,91993,nanital BANK
2594,91936,nanital BANK
2436,91924,nanital BANK
524,91888,nanital BANK
1867,91733,nanital BANK
4009,91703,nanital BANK
2250,91679,nanital BANK
2547,91646,nanital BANK
3877,91590,nanital BANK
773,91542,nanital BANK
9203,91532,nanital BANK
1091,91521,nanital BANK
2986,91488,nanital BANK
3440,91335,nanital BANK
1532,91301,nanital BANK
766,91197,nanital BANK
3850,90966,nanital BANK
3796,90862,nanital BANK
7861,90829,nanital BANK
3053,90732,nanital BANK
32,90565,nanital BANK
7637,90452,nanital BANK
1500,90393,nanital BANK
3788,90175,nanital BANK
5357,89940,nanital BANK
2844,89913,nanital BANK
390,89884,nanital BANK
3682,89720,nanital BANK
59,89720,nanital BANK
468,89457,nanital BANK
3993,89432,nanital BANK
3632,89218,nanital BANK
3702,89187,nanital BANK
2195,89174,nanital BANK
4264,89114,nanital BANK
3154,89082,nanital BANK
3659,88956,nanital BANK
1063,88942,nanital BANK
577,88795,nanital BANK
2555,88584,nanital BANK
2611,88557,nanital BANK
10436,88464,nanital BANK
786,88459,nanital BANK
775,88412,nanital BANK
3546,88390,nanital BANK
2467,88333,nanital BANK
319,88220,nanital BANK
1156,88203,nanital BANK
2067,88163,nanital BANK
3725,88110,nanital BANK
2817,88105,nanital BANK
10215,87973,nanital BANK
2167,87448,nanital BANK
756,87421,nanital BANK
50,87388,nanital BANK
5868,87261,nanital BANK
10607,87052,nanital BANK
1274,87019,nanital BANK
3403,86966,nanital BANK
184,86912,nanital BANK
1467,86853,nanital BANK
3897,86823,nanital BANK
2164,86792,nanital BANK
3586,86713,nanital BANK
1507,86656,nanital BANK
1112,86605,nanital BANK
2899,86567,nanital BANK
2954,86485,nanital BANK
3039,86428,nanital BANK
2638,86192,nanital BANK
1513,86165,nanital BANK
1076,85941,nanital BANK
1380,85744,nanital BANK
1289,85628,nanital BANK
2729,85624,nanital BANK
3612,85557,nanital BANK
2493,85462,nanital BANK
2079,85363,nanital BANK
1660,85287,nanital BANK
3931,85250,nanital BANK
1456,85207,nanital BANK
3459,85163,nanital BANK
10493,85034,nanital BANK
2386,84973,nanital BANK
4526,84856,nanital BANK
2819,84787,nanital BANK
1482,84762,nanital BANK
1636,84699,nanital BANK
232,84657,nanital BANK
2084,84641,nanital BANK
3862,84626,nanital BANK
1043,84557,nanital BANK
666,84508,nanital BANK
882,84447,nanital BANK
2353,84438,nanital BANK
8492,84411,nanital BANK
100,84377,nanital BANK
1599,84198,nanital BANK
8041,84029,nanital BANK
299,83992,nanital BANK
4423,83960,nanital BANK
3468,83842,nanital BANK
782,83778,nanital BANK
4447,83729,nanital BANK
420,83571,nanital BANK
2222,83542,nanital BANK
5505,83483,nanital BANK
1734,83459,nanital BANK
5072,83424,nanital BANK
2288,83287,nanital BANK
2486,83242,nanital BANK
3361,83057,nanital BANK
447,82986,nanital BANK
704,82977,nanital BANK
1709,82933,nanital BANK
963,82892,nanital BANK
9583,82889,nanital BANK
3278,82872,nanital BANK
23,82787,nanital BANK
1036,82732,nanital BANK
2586,82691,nanital BANK
3636,82567,nanital BANK
345,82565,nanital BANK
1591,82563,nanital BANK
4092,82489,nanital BANK
3653,82471,nanital BANK
2369,82259,nanital BANK
2268,82259,nanital BANK
386,82241,nanital BANK
2009,82141,nanital BANK
1121,82058,nanital BANK
3513,81971,nanital BANK
3901,81928,nanital BANK
2737,81922,nanital BANK
2141,81870,nanital BANK
1786,81836,nanital BANK
1756,81831,nanital BANK
2767,81820,nanital BANK
1983,81776,nanital BANK
1583,81770,nanital BANK
4484,81689,nanital BANK
1998,81677,nanital BANK
10001,81613,nanital BANK
2779,81534,nanital BANK
501,81506,nanital BANK
8038,81470,nanital BANK
101,81423,nanital BANK
1984,81328,nanital BANK
685,81291,nanital BANK
8330,81183,nanital BANK
3502,81077,nanital BANK
3010,81070,nanital BANK
1581,81001,nanital BANK
3116,80960,nanital BANK
572,80871,nanital BANK
4286,80840,nanital BANK
3794,80743,nanital BANK
3206,80721,nanital BANK
3848,80551,nanital BANK
3387,80416,nanital BANK
1526,80409,nanital BANK
3487,80389,nanital BANK
1194,80387,nanital BANK
1664,80374,nanital BANK
2708,80287,nanital BANK
95,80126,nanital BANK
2873,80112,nanital BANK
2521,80047,nanital BANK
4225,80031,nanital BANK
2908,80022,nanital BANK
925,79963,nanital BANK
1834,79951,nanital BANK
1798,79936,nanital BANK
1494,79908,nanital BANK
356,79901,nanital BANK
4424,79694,nanital BANK
2561,79679,nanital BANK
3404,79639,nanital BANK
3808,79590,nanital BANK
5477,79525,nanital BANK
4161,79492,nanital BANK
2724,79367,nanital BANK
1579,79360,nanital BANK
606,79309,nanital BANK
8,79255,nanital BANK
5870,79231,nanital BANK
3303,79156,nanital BANK
7795,79104,nanital BANK
1914,79095,nanital BANK
1385,79028,nanital BANK
1201,79028,nanital BANK
1007,78994,nanital BANK
1606,78767,nanital BANK
56,78757,nanital BANK
78,78733,nanital BANK
2464,78617,nanital BANK
1567,78564,nanital BANK
3727,78356,nanital BANK
928,78232,nanital BANK
4143,78066,nanital BANK
2583,78055,nanital BANK
3849,78049,nanital BANK
11021,77977,nanital BANK
128,77901,nanital BANK
3948,77860,nanital BANK
1022,77771,nanital BANK
2409,77751,nanital BANK
4069,77732,nanital BANK
9928,77589,nanital BANK
1087,77560,nanital BANK
116,77466,nanital BANK
3467,77427,nanital BANK
363,77371,nanital BANK
652,77207,nanital BANK
2650,77176,nanital BANK
11327,77059,nanital BANK
3323,77021,nanital BANK
10105,76988,nanital BANK
3696,76965,nanital BANK
361,76848,nanital BANK
2323,76845,nanital BANK
2580,76807,nanital BANK
2050,76758,nanital BANK
804,76735,nanital BANK
9627,76711,nanital BANK
1292,76680,nanital BANK
2389,76551,nanital BANK
2301,76536,nanital BANK
1938,76529,nanital BANK
1323,76419,nanital BANK
1230,76375,nanital BANK
189,76341,nanital BANK
384,76332,nanital BANK
8268,76315,nanital BANK
2000,76259,nanital BANK
2510,76222,nanital BANK
3768,76125,nanital BANK
1552,76077,nanital BANK
2653,75992,nanital BANK
3915,75956,nanital BANK
2689,75780,nanital BANK
3421,75744,nanital BANK
970,75666,nanital BANK
513,75549,nanital BANK
2831,75535,nanital BANK
3956,75511,nanital BANK
795,75392,nanital BANK
4948,75248,nanital BANK
3700,75201,nanital BANK
3327,75166,nanital BANK
3570,75107,nanital BANK
2711,74973,nanital BANK
11096,74941,nanital BANK
1817,74896,nanital BANK
3950,74603,nanital BANK
4034,74582,nanital BANK
2649,74581,nanital BANK
593,74575,nanital BANK
1537,74556,nanital BANK
172,74423,nanital BANK
598,74408,nanital BANK
1778,74359,nanital BANK
10148,74219,nanital BANK
1586,74204,nanital BANK
7,74075,nanital BANK
3529,73997,nanital BANK
1003,73867,nanital BANK
942,73861,nanital BANK
625,73835,nanital BANK
2178,73749,nanital BANK
3836,73718,nanital BANK
110,73616,nanital BANK
458,73613,nanital BANK
1819,73486,nanital BANK
3697,73444,nanital BANK
3407,73411,nanital BANK
135,73407,nanital BANK
1499,73332,nanital BANK
2772,73214,nanital BANK
1254,73199,nanital BANK
2503,73196,nanital BANK
2490,73125,nanital BANK
185,72988,nanital BANK
2731,72983,nanital BANK
4416,72940,nanital BANK
6397,72901,nanital BANK
3603,72879,nanital BANK
3348,72874,nanital BANK
3818,72850,nanital BANK
348,72826,nanital BANK
4245,72813,nanital BANK
3694,72747,nanital BANK
2582,72717,nanital BANK
523,72711,nanital BANK
3681,72521,nanital BANK
956,72337,nanital BANK
1110,72261,nanital BANK
3249,72161,nanital BANK
1839,72100,nanital BANK
1680,72009,nanital BANK
3077,71961,nanital BANK
603,71903,nanital BANK
307,71901,nanital BANK
2381,71894,nanital BANK
8489,71819,nanital BANK
2411,71746,nanital BANK
3606,71698,nanital BANK
1359,71696,nanital BANK
10963,71690,nanital BANK
855,71471,nanital BANK
2074,71424,nanital BANK
1352,71398,nanital BANK
312,71347,nanital BANK
1337,71289,nanital BANK
219,71286,nanital BANK
1854,71281,nanital BANK
2026,71248,nanital BANK
9159,71243,nanital BANK
1528,70986,nanital BANK
3128,70891,nanital BANK
3935,70858,nanital BANK
2310,70853,nanital BANK
48,70653,nanital BANK
3439,70622,nanital BANK
429,70596,nanital BANK
2266,70503,nanital BANK
2093,70495,nanital BANK
2040,70435,nanital BANK
2623,70366,nanital BANK
2460,70362,nanital BANK
2332,70335,nanital BANK
777,70241,nanital BANK
2887,70189,nanital BANK
2758,70179,nanital BANK
4907,70009,nanital BANK
3072,69987,nanital BANK
412,69923,nanital BANK
3917,69722,nanital BANK
280,69718,nanital BANK
173,69551,nanital BANK
2766,69406,nanital BANK
3118,69381,nanital BANK
5735,69365,nanital BANK
2070,69319,nanital BANK
761,69229,nanital BANK
4010,69218,nanital BANK
190,69213,nanital BANK
289,69171,nanital BANK
9030,69128,nanital BANK
1681,69116,nanital BANK
2600,69103,nanital BANK
3589,69071,nanital BANK
228,69028,nanital BANK
2360,68994,nanital BANK
8321,68983,nanital BANK
512,68960,nanital BANK
3709,68960,nanital BANK
57,68951,nanital BANK
3980,68942,nanital BANK
10558,68904,nanital BANK
311,68833,nanital BANK
2232,68757,nanital BANK
3201,68745,nanital BANK
2773,68730,nanital BANK
5944,68640,nanital BANK
3955,68596,nanital BANK
4576,68594,nanital BANK
1611,68517,nanital BANK
2760,68441,nanital BANK
376,68408,nanital BANK
1768,68287,nanital BANK
4014,68146,nanital BANK
3874,68094,nanital BANK
1019,67976,nanital BANK
1679,67861,nanital BANK
5442,67802,nanital BANK
2568,67794,nanital BANK
73,67730,nanital BANK
1907,67696,nanital BANK
755,67676,nanital BANK
4008,67500,nanital BANK
1231,67494,nanital BANK
2197,67436,nanital BANK
3162,67434,nanital BANK
169,67418,nanital BANK
1800,67390,nanital BANK
2077,67377,nanital BANK
1486,67358,nanital BANK
9560,67344,nanital BANK
3448,67282,nanital BANK
1471,67180,nanital BANK
2314,67024,nanital BANK
1360,66953,nanital BANK
716,66908,nanital BANK
1872,66821,nanital BANK
2530,66819,nanital BANK
1580,66798,nanital BANK
1129,66749,nanital BANK
4150,66740,nanital BANK
1745,66702,nanital BANK
675,66689,nanital BANK
2728,66506,nanital BANK
2037,66500,nanital BANK
5263,66293,nanital BANK
221,66201,nanital BANK
1251,66154,nanital BANK
2875,66044,nanital BANK
4268,66016,nanital BANK
562,65946,nanital BANK
1113,65921,nanital BANK
3000,65831,nanital BANK
3484,65653,nanital BANK
1208,65543,nanital BANK
2338,65434,nanital BANK
2876,65398,nanital BANK
1388,65378,nanital BANK
1243,65349,nanital BANK
1421,65239,nanital BANK
414,65217,nanital BANK
896,65186,nanital BANK
2800,65156,nanital BANK
568,65147,nanital BANK
3377,65113,nanital BANK
922,65051,nanital BANK
2298,65049,nanital BANK
5774,65035,nanital BANK
2108,65007,nanital BANK
5817,64983,nanital BANK
820,64950,nanital BANK
5541,64921,nanital BANK
2430,64882,nanital BANK
4543,64797,nanital BANK
1948,64767,nanital BANK
2280,64733,nanital BANK
7542,64464,nanital BANK
430,64437,nanital BANK
819,64357,nanital BANK
3969,64304,nanital BANK
1828,64239,nanital BANK
2241,64182,nanital BANK
858,64049,nanital BANK
2795,64018,nanital BANK
2994,63929,nanital BANK
2383,63925,nanital BANK
3699,63919,nanital BANK
2813,63825,nanital BANK
1920,63726,nanital BANK
9153,63710,nanital BANK
3038,63652,nanital BANK
1640,63647,nanital BANK
1294,63568,nanital BANK
2559,63549,nanital BANK
1603,63509,nanital BANK
2370,63391,nanital BANK
1109,63324,nanital BANK
6609,63288,nanital BANK
3156,63158,nanital BANK
3405,63120,nanital BANK
657,63114,nanital BANK
2446,63047,nanital BANK
1221,63019,nanital BANK
3267,63015,nanital BANK
4454,62953,nanital BANK
1916,62846,nanital BANK
3944,62816,nanital BANK
344,62800,nanital BANK
952,62781,nanital BANK
1464,62735,nanital BANK
1171,62717,nanital BANK
1483,62614,nanital BANK
1655,62575,nanital BANK
2354,62521,nanital BANK
2615,62515,nanital BANK
1759,62465,nanital BANK
3801,62303,nanital BANK
2639,62236,nanital BANK
1435,62154,nanital BANK
177,62150,nanital BANK
1825,62135,nanital BANK
647,62078,nanital BANK
2905,62007,nanital BANK
3886,61972,nanital BANK
1470,61911,nanital BANK
2119,61870,nanital BANK
1857,61859,nanital BANK
689,61788,nanital BANK
2816,61735,nanital BANK
21,61685,nanital BANK
3332,61659,nanital BANK
3397,61648,nanital BANK
1604,61623,nanital BANK
2118,61531,nanital BANK
7990,61477,nanital BANK
2041,61381,nanital BANK
362,61332,nanital BANK
2483,61324,nanital BANK
3998,61251,nanital BANK
2957,61193,nanital BANK
10,61190,nanital BANK
3786,61061,nanital BANK
6157,61030,nanital BANK
7632,60922,nanital BANK
2616,60866,nanital BANK
11053,60807,nanital BANK
3083,60801,nanital BANK
1522,60705,nanital BANK
466,60700,nanital BANK
1807,60671,nanital BANK
9333,60651,nanital BANK
7828,60581,nanital BANK
3559,60548,nanital BANK
2963,60491,nanital BANK
2808,60472,nanital BANK
367,60460,nanital BANK
2918,60458,nanital BANK
108,60420,nanital BANK
336,60390,nanital BANK
1348,60347,nanital BANK
866,60324,nanital BANK
2156,60291,nanital BANK
3379,60283,nanital BANK
11135,60228,nanital BANK
3185,60212,nanital BANK
3809,60171,nanital BANK
2857,60044,nanital BANK
1443,60036,nanital BANK
2295,59994,nanital BANK
3633,59987,nanital BANK
2431,59851,nanital BANK
211,59844,nanital BANK
2780,59811,nanital BANK
1257,59789,nanital BANK
2146,59760,nanital BANK
622,59572,nanital BANK
980,59572,nanital BANK
8129,59546,nanital BANK
371,59495,nanital BANK
3324,59478,nanital BANK
1808,59476,nanital BANK
1705,59414,nanital BANK
1116,59376,nanital BANK
1788,59307,nanital BANK
2440,59305,nanital BANK
817,59299,nanital BANK
848,59279,nanital BANK
144,59265,nanital BANK
2676,59256,nanital BANK
2936,59151,nanital BANK
4585,59121,nanital BANK
3287,59066,nanital BANK
7890,58866,nanital BANK
1085,58856,nanital BANK
590,58796,nanital BANK
2602,58691,nanital BANK
1549,58618,nanital BANK
3369,58567,nanital BANK
506,58525,nanital BANK
1944,58467,nanital BANK
2235,58457,nanital BANK
2136,58405,nanital BANK
2988,58294,nanital BANK
1836,58233,nanital BANK
2652,58190,nanital BANK
1982,58148,nanital BANK
1154,58137,nanital BANK
1851,58067,nanital BANK
2693,58051,nanital BANK
418,57941,nanital BANK
4099,57919,nanital BANK
2973,57821,nanital BANK
1269,57697,nanital BANK
3383,57691,nanital BANK
402,57639,nanital BANK
4519,57590,nanital BANK
3602,57571,nanital BANK
2895,57568,nanital BANK
122,57562,nanital BANK
1153,57471,nanital BANK
7894,57391,nanital BANK
1207,57372,nanital BANK
3577,57361,nanital BANK
7465,57325,nanital BANK
119,57199,nanital BANK
976,57143,nanital BANK
170,57083,nanital BANK
3476,57073,nanital BANK
2956,56991,nanital BANK
1863,56914,nanital BANK
2112,56828,nanital BANK
3826,56793,nanital BANK
847,56650,nanital BANK
917,56609,nanital BANK
1214,56603,nanital BANK
2163,56517,nanital BANK
2033,56408,nanital BANK
3590,56324,nanital BANK
1534,56286,nanital BANK
2788,56285,nanital BANK
1126,56276,nanital BANK
913,56258,nanital BANK
2881,56234,nanital BANK
2192,56119,nanital BANK
8688,56054,nanital BANK
3064,55907,nanital BANK
242,55886,nanital BANK
149,55884,nanital BANK
2206,55866,nanital BANK
2944,55855,nanital BANK
3890,55839,nanital BANK
824,55771,nanital BANK
8085,55753,nanital BANK
556,55753,nanital BANK
2449,55718,nanital BANK
1826,55651,nanital BANK
3528,55564,nanital BANK
1266,55474,nanital BANK
392,55424,nanital BANK
4132,55404,nanital BANK
2804,55276,nanital BANK
2593,55246,nanital BANK
4159,55211,nanital BANK
1790,55192,nanital BANK
1894,55165,nanital BANK
3947,55139,nanital BANK
1245,55121,nanital BANK
1645,55069,nanital BANK
9549,54865,nanital BANK
3958,54824,nanital BANK
3186,54741,nanital BANK
4091,54605,nanital BANK
621,54599,nanital BANK
1490,54594,nanital BANK
2275,54498,nanital BANK
260,54475,nanital BANK
1260,54472,nanital BANK
2858,54412,nanital BANK
1946,54301,nanital BANK
683,54297,nanital BANK
1369,54193,nanital BANK
919,54192,nanital BANK
3506,54170,nanital BANK
6688,54142,nanital BANK
2091,54095,nanital BANK
566,54059,nanital BANK
2734,53969,nanital BANK
1674,53918,nanital BANK
3903,53885,nanital BANK
2104,53831,nanital BANK
2847,53758,nanital BANK
944,53737,nanital BANK
3410,53692,nanital BANK
4386,53674,nanital BANK
1953,53652,nanital BANK
2107,53630,nanital BANK
2447,53494,nanital BANK
3,53447,nanital BANK
201,53402,nanital BANK
2071,53362,nanital BANK
3508,53357,nanital BANK
3489,53255,nanital BANK
1178,53168,nanital BANK
6040,53139,nanital BANK
765,53129,nanital BANK
700,53122,nanital BANK
1042,53104,nanital BANK
1335,52972,nanital BANK
3338,52920,nanital BANK
558,52831,nanital BANK
1090,52813,nanital BANK
126,52793,nanital BANK
3314,52682,nanital BANK
653,52673,nanital BANK
2200,52643,nanital BANK
10762,52630,nanital BANK
2182,52587,nanital BANK
2959,52569,nanital BANK
2620,52461,nanital BANK
1815,52429,nanital BANK
1102,52397,nanital BANK
4650,52350,nanital BANK
2564,52320,nanital BANK
853,52268,nanital BANK
3376,52181,nanital BANK
987,52134,nanital BANK
4438,52114,nanital BANK
3259,52094,nanital BANK
780,52070,nanital BANK
2194,52020,nanital BANK
698,52019,nanital BANK
3518,51891,nanital BANK
3102,51826,nanital BANK
2511,51793,nanital BANK
3366,51777,nanital BANK
1651,51694,nanital BANK
3701,51637,nanital BANK
3656,51535,nanital BANK
1949,51504,nanital BANK
1395,51485,nanital BANK
3930,51391,nanital BANK
183,51389,nanital BANK
534,51351,nanital BANK
4105,51285,nanital BANK
836,51280,nanital BANK
3605,51194,nanital BANK
3485,51180,nanital BANK
9024,50984,nanital BANK
3066,50939,nanital BANK
1555,50909,nanital BANK
3838,50758,nanital BANK
240,50744,nanital BANK
3152,50696,nanital BANK
1793,50522,nanital BANK
488,50500,nanital BANK
3445,50446,nanital BANK
1229,50370,nanital BANK
1564,50370,nanital BANK
677,50344,nanital BANK
1379,50332,nanital BANK
3739,50294,nanital BANK
1436,50203,nanital BANK
1980,50175,nanital BANK
1866,50117,nanital BANK
1830,50036,nanital BANK
4389,49984,nanital BANK
4134,49975,nanital BANK
859,49886,nanital BANK
964,49884,nanital BANK
573,49834,nanital BANK
3048,49768,nanital BANK
2983,49768,nanital BANK
2787,49578,nanital BANK
5196,49499,nanital BANK
3362,49487,nanital BANK
1976,49446,nanital BANK
2274,49407,nanital BANK
2495,49400,nanital BANK
195,49228,nanital BANK
2343,49079,nanital BANK
381,48948,nanital BANK
1753,48884,nanital BANK
415,48872,nanital BANK
4140,48847,nanital BANK
409,48825,nanital BANK
3946,48694,nanital BANK
4119,48600,nanital BANK
2395,48599,nanital BANK
3308,48591,nanital BANK
3316,48471,nanital BANK
5837,48446,nanital BANK
1135,48446,nanital BANK
9513,48281,nanital BANK
4173,48210,nanital BANK
2533,48208,nanital BANK
2183,48175,nanital BANK
1046,48030,nanital BANK
470,47968,nanital BANK
2393,47886,nanital BANK
2860,47756,nanital BANK
4309,47729,nanital BANK
2836,47727,nanital BANK
2942,47721,nanital BANK
2398,47712,nanital BANK
3385,47687,nanital BANK
7449,47647,nanital BANK
3805,47609,nanital BANK
1783,47570,nanital BANK
4144,47568,nanital BANK
134,47540,nanital BANK
2498,47539,nanital BANK
2622,47534,nanital BANK
140,47344,nanital BANK
2451,47294,nanital BANK
1952,47290,nanital BANK
249,47283,nanital BANK
1986,47277,nanital BANK
1387,47192,nanital BANK
2540,47085,nanital BANK
1306,47034,nanital BANK
1150,46871,nanital BANK
2927,46864,nanital BANK
770,46799,nanital BANK
3349,46797,nanital BANK
1140,46782,nanital BANK
3149,46768,nanital BANK
2916,46692,nanital BANK
9677,46685,nanital BANK
3451,46680,nanital BANK
1303,46502,nanital BANK
2739,46473,nanital BANK
2143,46458,nanital BANK
8092,46307,nanital BANK
872,46151,nanital BANK
1619,46119,nanital BANK
10954,45996,nanital BANK
2837,45956,nanital BANK
1259,45879,nanital BANK
1498,45792,nanital BANK
2303,45633,nanital BANK
4130,45596,nanital BANK
3992,45428,nanital BANK
2659,45378,nanital BANK
1647,45328,nanital BANK
1118,45306,nanital BANK
3851,45297,nanital BANK
3096,45281,nanital BANK
2990,45263,nanital BANK
2551,45236,nanital BANK
205,45084,nanital BANK
1627,45056,nanital BANK
3827,44941,nanital BANK
10694,44788,nanital BANK
3399,44714,nanital BANK
2792,44648,nanital BANK
10630,44613,nanital BANK
3816,44600,nanital BANK
2214,44576,nanital BANK
2151,44505,nanital BANK
2970,44179,nanital BANK
5628,44155,nanital BANK
6158,44152,nanital BANK
2484,44092,nanital BANK
320,44054,nanital BANK
3784,44008,nanital BANK
1622,43966,nanital BANK
14,43935,nanital BANK
3706,43580,nanital BANK
3093,43454,nanital BANK
3665,43393,nanital BANK
2415,43379,nanital BANK
2499,43361,nanital BANK
2340,43277,nanital BANK
718,43237,nanital BANK
3655,43188,nanital BANK
3263,42960,nanital BANK
6505,42956,nanital BANK
2605,42937,nanital BANK
1101,42909,nanital BANK
3927,42865,nanital BANK
2487,42851,nanital BANK
2405,42698,nanital BANK
553,42543,nanital BANK
2038,42494,nanital BANK
2013,42419,nanital BANK
3334,42377,nanital BANK
9494,42280,nanital BANK
3209,42212,nanital BANK
3986,42188,nanital BANK
2637,42145,nanital BANK
2309,42060,nanital BANK
1040,42008,nanital BANK
2920,41937,nanital BANK
3539,41864,nanital BANK
3569,41849,nanital BANK
2392,41845,nanital BANK
3190,41824,nanital BANK
1242,41707,nanital BANK
9051,41663,nanital BANK
109,41650,nanital BANK
2391,41617,nanital BANK
1053,41599,nanital BANK
825,41583,nanital BANK
643,41578,nanital BANK
1070,41526,nanital BANK
1904,41471,nanital BANK
2329,41366,nanital BANK
551,41342,nanital BANK
3396,41273,nanital BANK
968,41258,nanital BANK
3242,41112,nanital BANK
3523,41106,nanital BANK
241,41009,nanital BANK
3695,40978,nanital BANK
