BANK,TXN_YEAR,ACCOUNT_TYPE,TOTAL_ACCOUNTS,TOTAL_TXNS,DEPOSIT_COUNT,WITHDRAWAL_COUNT,TOTAL_BALANCE_OF_ALL_ACCOUNTS_IN_BANK,DEPOSIT_PERC,WITHDRAWAL_PERC,AVG_BALANCE,TXNS_PER_ACC
Trinity Bank,2019,Salary account,1,4,0,4,143503.6,0,100,143504,4
Trinity Bank,2020,NRI account,2,34,0,34,1552704.8,0,100,776352,17
Trinity Bank,2020,Savings account,4,81,0,81,3817446,0,100,954362,20
Trinity Bank,2021,NRI account,3,60,0,60,2983522.8,0,100,994508,20
Trinity Bank,2021,Salary account,1,24,0,24,840662.4,0,100,840662,24
Trinity Bank,2021,Savings account,1,32,0,32,1272480,0,100,1272480,32
UniCredit Bank,2020,NRI account,1,12,0,12,226455.6,0,100,226456,12
Bank Creditas,2021,Savings account,1,24,0,24,1381953.6,0,100,1381954,24
Czech export bank,2019,Salary account,1,12,0,12,959834.4,0,100,959834,12
Czech export bank,2020,NRI account,2,48,0,48,2226304.8,0,100,1113152,24
Czech export bank,2020,Salary account,5,95,0,95,3646428.5,0,100,729286,19
Czech export bank,2020,Savings account,1,24,0,24,1451277.6,0,100,1451278,24
Czech export bank,2021,NRI account,2,85,0,85,5633386.4,0,100,2816693,43
Czech export bank,2021,Savings account,1,24,0,24,622272,0,100,622272,24
Fio bank,2019,Salary account,1,8,0,8,266886.4,0,100,266886,8
Fio bank,2020,NRI account,1,24,0,24,1260379.2,0,100,1260379,24
Fio bank,2020,Salary account,4,84,0,84,4902453.6,0,100,1225613,21
Fio bank,2021,NRI account,1,36,0,36,1535720.4,0,100,1535720,36
Fio bank,2021,Salary account,3,53,0,53,4318025,0,100,1439342,18
Fio bank,2021,Savings account,3,60,0,60,1332318,0,100,444106,20
Hypotecni bank,2019,Salary account,1,12,0,12,215425.2,0,100,215425,12
Hypotecni bank,2020,NRI account,1,12,0,12,408106.8,0,100,408107,12
Hypotecni bank,2020,Savings account,4,80,0,80,3455961.2,0,100,863990,20
Hypotecni bank,2021,NRI account,2,36,0,36,2354466,0,100,1177233,18
Hypotecni bank,2021,Salary account,3,72,0,72,5071832,0,100,1690611,24
Hypotecni bank,2021,Savings account,1,25,0,25,1691525,0,100,1691525,25
UniCredit Bank,2020,Salary account,1,12,0,12,875118,0,100,875118,12
UniCredit Bank,2020,Savings account,1,18,0,18,283003.2,0,100,283003,18
UniCredit Bank,2021,NRI account,2,49,0,49,2428298.9,0,100,1214149,25
UniCredit Bank,2021,Salary account,3,84,0,84,4896336,0,100,1632112,28
UniCredit Bank,2021,Savings account,2,46,0,46,1531410,0,100,765705,23
Max bank,2019,Savings account,1,12,0,12,251581.2,0,100,251581,12
Max bank,2020,NRI account,2,24,0,24,961968,0,100,480984,12
Max bank,2020,Salary account,1,24,0,24,1708372.8,0,100,1708373,24
Max bank,2020,Savings account,1,12,0,12,324806.4,0,100,324806,12
Max bank,2021,NRI account,1,33,0,33,1130124.6,0,100,1130125,33
Max bank,2021,Salary account,1,36,0,36,2297322,0,100,2297322,36
Max bank,2021,Savings account,7,204,0,204,11259463.2,0,100,1608495,29
Moneta Money Bank,2020,Salary account,1,25,0,25,2227510,0,100,2227510,25
Moneta Money Bank,2020,Savings account,2,24,0,24,882592.8,0,100,441296,12
Moneta Money Bank,2021,NRI account,2,48,0,48,1552804.8,0,100,776402,24
Moneta Money Bank,2021,Salary account,1,24,0,24,1001968.8,0,100,1001969,24
Moneta Money Bank,2021,Savings account,1,24,0,24,742536,0,100,742536,24
ADB BANK,2018,NRI account,362,6939,3934,3005,268090183.4,56.69,43.31,740581,19
ADB BANK,2018,Salary account,395,7926,4488,3438,315824344.8,56.62,43.38,799555,20
ADB BANK,2018,Savings account,382,7647,4328,3319,289666412.6,56.6,43.4,758289,20
Air Bank,2022,NRI account,200,7654,1729,5925,363344079.8,22.59,77.41,1816720,38
Air Bank,2022,Salary account,189,7494,1954,5540,343466561.1,26.07,73.93,1817283,40
Air Bank,2022,Savings account,166,6265,1334,4931,257684403.1,21.29,78.71,1552316,38
Hypotecni bank,2022,Salary account,173,6105,1523,4582,263246236.7,24.95,75.05,1521655,35
Hypotecni bank,2022,Savings account,183,7055,1471,5584,281666961.6,20.85,79.15,1539164,39
J&T Bank,2022,NRI account,175,6251,1399,4852,298887938.2,22.38,77.62,1707931,36
J&T Bank,2022,Salary account,159,6812,1627,5185,301353799.9,23.88,76.12,1895307,43
J&T Bank,2022,Savings account,175,6370,1958,4412,279858970.3,30.74,69.26,1599194,36
Kameron bank,2022,NRI account,198,7570,1657,5913,330199437.8,21.89,78.11,1667674,38
Kameron bank,2022,Salary account,191,7272,1558,5714,313348758.4,21.42,78.58,1640569,38
Kameron bank,2022,Savings account,191,6711,1592,5119,276464995.4,23.72,76.28,1447461,35
Moneta Money Bank,2022,Salary account,169,6849,1229,5620,301277694.3,17.94,82.06,1782708,41
Moneta Money Bank,2022,Savings account,194,7762,1866,5896,330627096,24.04,75.96,1704263,40
PPF Bank,2022,NRI account,172,6438,961,5477,274228974.8,14.93,85.07,1594355,37
PPF Bank,2022,Salary account,178,6922,1784,5138,308016833.5,25.77,74.23,1730432,39
PPF Bank,2022,Savings account,188,7055,2168,4887,301194895.5,30.73,69.27,1602101,38
Raiffeisen bank,2022,NRI account,187,7104,1602,5502,324147699.3,22.55,77.45,1733410,38
Raiffeisen bank,2022,Salary account,169,6897,1568,5329,288278396.3,22.73,77.27,1705789,41
Raiffeisen bank,2022,Savings account,181,7033,1765,5268,303321314.6,25.1,74.9,1675808,39
Sky Bank,2019,NRI account,1194,48857,21401,27456,2019233406,43.8,56.2,1691150,41
Sky Bank,2019,Salary account,1165,47736,20967,26769,1890083240,43.92,56.08,1622389,41
Sky Bank,2019,Savings account,1243,50756,22436,28320,2051056946,44.2,55.8,1650086,41
Trinity Bank,2022,NRI account,196,7596,1348,6248,346734774.7,17.75,82.25,1769055,39
Trinity Bank,2022,Salary account,163,6354,1708,4646,281279019.3,26.88,73.12,1725638,39
Trinity Bank,2022,Savings account,185,7108,1824,5284,305278155.6,25.66,74.34,1650152,38
Bank Creditas,2022,NRI account,169,6350,1266,5084,266366640.5,19.94,80.06,1576134,38
Bank Creditas,2022,Salary account,188,7342,2392,4950,336232023.9,32.58,67.42,1788468,39
Bank Creditas,2022,Savings account,198,7791,1735,6056,317685402.4,22.27,77.73,1604472,39
Czech export bank,2022,NRI account,176,6633,1584,5049,300099626.7,23.88,76.12,1705112,38
Czech export bank,2022,Salary account,167,6959,1917,5042,323822282.4,27.55,72.45,1939056,42
Czech export bank,2022,Savings account,191,7214,1843,5371,298461381.8,25.55,74.45,1562625,38
DBS BANK,2019,NRI account,512,22207,9643,12564,878064910.2,43.42,56.58,1714971,43
DBS BANK,2019,Salary account,533,23122,9923,13199,854404094.9,42.92,57.08,1603010,43
DBS BANK,2019,Savings account,533,23434,10292,13142,888010182.3,43.92,56.08,1666060,44
Fio bank,2022,NRI account,187,7234,1688,5546,306725998.1,23.33,76.67,1640246,39
Fio bank,2022,Salary account,201,7400,1679,5721,333641657.3,22.69,77.31,1659909,37
Fio bank,2022,Savings account,193,7386,1479,5907,298796339.3,20.02,79.98,1548168,38
Hypotecni bank,2022,NRI account,175,6781,1567,5214,316324680.1,23.11,76.89,1807570,39
UniCredit Bank,2022,NRI account,193,7256,2327,4929,329351007.2,32.07,67.93,1706482,38
UniCredit Bank,2022,Salary account,170,6097,1566,4531,228487995.8,25.68,74.32,1344047,36
UniCredit Bank,2022,Savings account,166,6049,1214,4835,254963574.3,20.07,79.93,1535925,36
nanital BANK,2022,NRI account,1519,76946,32244,44702,3911466704,41.9,58.1,2575027,51
nanital BANK,2022,Salary account,1442,72756,30437,42319,3589231800,41.83,58.17,2489065,50
nanital BANK,2022,Savings account,1531,76789,32026,44763,3745330628,41.71,58.29,2446330,50
nothern BANK,2021,NRI account,1521,70234,30211,40023,2954426627,43.01,56.99,1942424,46
nothern BANK,2021,Salary account,1443,68013,29054,38959,2848014579,42.72,57.28,1973676,47
nothern BANK,2021,Savings account,1532,72630,31151,41479,3020314767,42.89,57.11,1971485,47
Sky Bank,2020,NRI account,742,32447,13783,18664,1316464388,42.48,57.52,1774211,44
Sky Bank,2020,Salary account,736,32763,13998,18765,1236017409,42.73,57.28,1679371,45
Sky Bank,2020,Savings account,761,33864,14667,19197,1312315185,43.31,56.69,1724461,44
Max bank,2022,NRI account,189,6959,1791,5168,335585537.8,25.74,74.26,1775585,37
Max bank,2022,Salary account,170,7071,1700,5371,323566137.8,24.04,75.96,1903330,42
Max bank,2022,Savings account,187,6792,1659,5133,276692012.7,24.43,75.57,1479636,36
Moneta Money Bank,2022,NRI account,184,6743,2194,4549,310780641.4,32.54,67.46,1689025,37
