ACCOUNT_ID,TYPE,ISSUED
1535,Gold,30-Nov-19
66,Gold,30-Nov-19
3219,Gold,30-Nov-19
3847,Gold,31-Dec-19
981,Gold,31-Dec-19
1328,Gold,31-Dec-19
115,Gold,31-Dec-19
2803,Gold,31-Dec-19
9504,Gold,31-Dec-19
277,Gold,31-Dec-19
9192,Gold,31-Dec-19
3086,Gold,31-Dec-19
8129,Gold,31-Dec-19
491,Gold,31-Dec-19
1732,Gold,31-Dec-19
3591,Gold,31-Dec-19
1554,Gold,31-Dec-19
3597,Gold,31-Dec-19
5505,Gold,31-Dec-19
3672,Gold,31-Dec-19
863,Gold,31-Dec-19
1709,Gold,31-Jan-20
1803,Gold,31-Jan-20
1526,Gold,31-Jan-20
1044,Gold,31-Jan-20
960,Gold,31-Jan-20
1009,Gold,31-Jan-20
990,Gold,31-Jan-20
3663,Gold,29-Feb-20
2702,Gold,29-Feb-20
5357,Gold,29-Feb-20
1396,Gold,29-Feb-20
2993,Gold,29-Feb-20
853,Gold,29-Feb-20
3580,Gold,29-Feb-20
2086,Gold,31-Mar-20
3038,Gold,31-Mar-20
3088,Gold,31-Mar-20
1146,Gold,31-Mar-20
2044,Gold,31-Mar-20
1835,Gold,31-Mar-20
2825,Gold,31-Mar-20
1826,Gold,30-Apr-20
3259,Gold,30-Apr-20
3212,Gold,30-Apr-20
1309,Gold,30-Apr-20
506,Gold,30-Apr-20
393,Gold,30-Apr-20
1581,Gold,30-Apr-20
4580,Gold,30-Apr-20
5477,Gold,30-Apr-20
1453,Gold,30-Apr-20
10361,Gold,30-Apr-20
2240,Gold,30-Apr-20
2218,Gold,30-Apr-20
256,Gold,30-Apr-20
2973,Gold,30-Apr-20
1160,Gold,30-Apr-20
2084,Gold,30-Apr-20
360,Gold,30-Apr-20
3938,Gold,30-Apr-20
1480,Gold,31-May-20
3628,Gold,31-May-20
9859,Gold,31-May-20
10663,Gold,31-May-20
2515,Gold,31-May-20
2321,Gold,31-May-20
2629,Gold,31-May-20
10445,Gold,31-May-20
683,Gold,31-May-20
1552,Gold,31-May-20
618,Gold,31-May-20
417,Gold,31-May-20
1660,Gold,31-May-20
497,Gold,31-May-20
1862,Gold,31-May-20
1058,Gold,31-May-20
4086,Gold,31-May-20
1210,Gold,31-May-20
4715,Gold,31-May-20
1121,Gold,31-May-20
8547,Gold,30-Jun-20
1611,Gold,30-Jun-20
3733,Gold,30-Jun-20
3296,Gold,30-Jun-20
3124,Gold,30-Jun-20
2701,Gold,30-Jun-20
4448,Gold,30-Jun-20
665,Gold,30-Jun-20
2915,Gold,30-Jun-20
549,Gold,30-Jun-20
530,Gold,30-Jun-20
2034,Gold,30-Jun-20
2550,Gold,30-Jun-20
377,Gold,30-Jun-20
3113,Gold,30-Jun-20
3160,Gold,31-Jul-20
3866,Gold,31-Jul-20
6649,Gold,31-Jul-20
213,Gold,31-Jul-20
3559,Gold,31-Jul-20
2611,Gold,31-Jul-20
222,Gold,31-Jul-20
1869,Gold,31-Jul-20
2653,Gold,31-Jul-20
3220,Gold,31-Jul-20
3709,Gold,31-Jul-20
666,Gold,31-Jul-20
10954,Gold,31-Jul-20
3315,Gold,31-Jul-20
2418,Gold,31-Jul-20
1786,Gold,31-Aug-20
1870,Gold,31-Aug-20
3229,Gold,31-Aug-20
4321,Gold,31-Aug-20
3770,Gold,31-Aug-20
2818,Gold,31-Aug-20
8041,Gold,31-Aug-20
1478,Gold,31-Aug-20
967,Gold,31-Aug-20
2635,Gold,31-Aug-20
945,Gold,31-Aug-20
3602,Gold,31-Aug-20
108,Gold,31-Aug-20
10738,Gold,31-Aug-20
6265,Gold,31-Aug-20
1036,Gold,31-Aug-20
1330,Gold,31-Aug-20
1182,Gold,31-Aug-20
911,Gold,31-Aug-20
1267,Gold,31-Aug-20
7957,Gold,30-Sep-20
2227,Gold,30-Sep-20
1894,Gold,30-Sep-20
3151,Gold,30-Sep-20
2912,Gold,30-Sep-20
1745,Gold,30-Sep-20
300,Gold,30-Sep-20
65,Gold,30-Sep-20
3578,Gold,30-Sep-20
573,Gold,30-Sep-20
3507,Gold,30-Sep-20
3471,Gold,30-Sep-20
1264,Gold,30-Sep-20
167,Gold,30-Sep-20
3372,Gold,30-Sep-20
253,Gold,30-Sep-20
2287,Gold,30-Sep-20
2279,Gold,30-Sep-20
1197,Gold,31-Oct-20
1449,Gold,31-Oct-20
3059,Gold,31-Oct-20
266,Gold,31-Oct-20
8533,Gold,31-Oct-20
4258,Gold,31-Oct-20
2934,Gold,31-Oct-20
3782,Gold,31-Oct-20
2625,Gold,31-Oct-20
11141,Gold,31-Oct-20
2532,Gold,31-Oct-20
2799,Gold,31-Oct-20
1304,Gold,31-Oct-20
3465,Gold,31-Oct-20
2834,Gold,31-Oct-20
6930,Gold,31-Oct-20
427,Gold,31-Oct-20
3221,Gold,31-Oct-20
424,Gold,31-Oct-20
1976,Gold,31-Oct-20
405,Gold,31-Oct-20
2986,Gold,30-Nov-20
9377,Gold,30-Nov-20
2004,Gold,30-Nov-20
2994,Gold,30-Nov-20
3999,Gold,30-Nov-20
2689,Gold,30-Nov-20
132,Gold,30-Nov-20
2742,Gold,30-Nov-20
2262,Gold,30-Nov-20
2817,Gold,30-Nov-20
226,Gold,30-Nov-20
3897,Gold,30-Nov-20
739,Gold,30-Nov-20
1482,Gold,30-Nov-20
603,Gold,30-Nov-20
6157,Gold,30-Nov-20
6872,Gold,30-Nov-20
4358,Gold,30-Nov-20
1734,Gold,30-Nov-20
3216,Gold,30-Nov-20
392,Gold,30-Nov-20
8026,Gold,30-Nov-20
3116,Gold,30-Nov-20
2953,Gold,31-Dec-20
4746,Gold,31-Dec-20
3527,Gold,31-Dec-20
6353,Gold,31-Dec-20
2725,Gold,31-Dec-20
1580,Gold,31-Dec-20
1077,Gold,31-Dec-20
6273,Gold,31-Dec-20
2089,Gold,31-Dec-20
3710,Gold,31-Dec-20
716,Gold,31-Dec-20
278,Gold,31-Dec-20
1450,Gold,31-Dec-20
4253,Gold,31-Dec-20
1943,Gold,31-Dec-20
399,Gold,31-Dec-20
356,Gold,31-Dec-20
1778,Gold,31-Dec-20
339,Gold,31-Jan-21
4631,Gold,31-Jan-21
2054,Gold,31-Jan-21
1486,Gold,31-Jan-21
2170,Gold,31-Jan-21
2080,Gold,31-Jan-21
110,Gold,31-Jan-21
2471,Gold,31-Jan-21
3503,Gold,31-Jan-21
1900,Gold,31-Jan-21
1237,Gold,31-Jan-21
3915,Gold,31-Jan-21
1817,Gold,31-Jan-21
1257,Gold,31-Jan-21
2780,Gold,31-Jan-21
14,Gold,28-Feb-21
11079,Gold,28-Feb-21
3606,Gold,28-Feb-21
4527,Gold,28-Feb-21
10679,Gold,28-Feb-21
2708,Gold,28-Feb-21
10562,Gold,28-Feb-21
2811,Gold,28-Feb-21
3437,Gold,28-Feb-21
1253,Gold,28-Feb-21
2164,Gold,28-Feb-21
244,Gold,28-Feb-21
294,Gold,28-Feb-21
367,Gold,28-Feb-21
1080,Gold,28-Feb-21
185,Gold,28-Feb-21
1132,Gold,28-Feb-21
1760,Gold,28-Feb-21
1227,Gold,28-Feb-21
1456,Gold,28-Feb-21
1513,Gold,28-Feb-21
7156,Gold,31-Mar-21
3269,Gold,31-Mar-21
3664,Gold,31-Mar-21
2370,Gold,31-Mar-21
412,Gold,31-Mar-21
1953,Gold,31-Mar-21
846,Gold,31-Mar-21
871,Gold,31-Mar-21
363,Gold,31-Mar-21
2624,Gold,31-Mar-21
9333,Gold,31-Mar-21
5133,Gold,31-Mar-21
2184,Gold,31-Mar-21
4150,Gold,31-Mar-21
2640,Gold,31-Mar-21
2698,Gold,31-Mar-21
503,Gold,31-Mar-21
1770,Gold,31-Mar-21
6461,Gold,31-Mar-21
1752,Gold,31-Mar-21
3467,Gold,30-Apr-21
3950,Gold,30-Apr-21
2138,Gold,30-Apr-21
2156,Gold,30-Apr-21
589,Gold,30-Apr-21
1192,Gold,30-Apr-21
329,Gold,30-Apr-21
3106,Gold,30-Apr-21
3445,Gold,30-Apr-21
1037,Gold,30-Apr-21
3401,Gold,30-Apr-21
804,Gold,30-Apr-21
1067,Gold,30-Apr-21
1101,Gold,30-Apr-21
3861,Gold,30-Apr-21
1491,Gold,30-Apr-21
2480,Gold,30-Apr-21
2424,Gold,30-Apr-21
4158,Gold,30-Apr-21
10905,Gold,30-Apr-21
390,Gold,31-May-21
3598,Gold,31-May-21
4342,Gold,31-May-21
680,Gold,31-May-21
2350,Gold,31-May-21
2954,Gold,31-May-21
97,Gold,31-May-21
970,Gold,31-May-21
471,Gold,31-May-21
1922,Gold,31-May-21
4533,Gold,31-May-21
5708,Gold,31-May-21
105,Gold,31-May-21
3758,Gold,31-May-21
1261,Gold,31-May-21
566,Gold,31-May-21
856,Gold,31-May-21
5120,Gold,31-May-21
2506,Gold,31-May-21
48,Gold,31-May-21
5196,Gold,31-May-21
796,Gold,31-May-21
1662,Gold,31-May-21
3446,Gold,31-May-21
3444,Gold,31-May-21
1754,Gold,31-May-21
512,Gold,31-May-21
3302,Gold,30-Jun-21
1178,Gold,30-Jun-21
1789,Gold,30-Jun-21
10607,Gold,30-Jun-21
3262,Gold,30-Jun-21
3293,Gold,30-Jun-21
1599,Gold,30-Jun-21
1567,Gold,30-Jun-21
2764,Gold,30-Jun-21
3404,Gold,30-Jun-21
211,Gold,30-Jun-21
2298,Gold,30-Jun-21
348,Gold,30-Jun-21
1335,Gold,30-Jun-21
685,Gold,30-Jun-21
2296,Gold,30-Jun-21
2069,Gold,30-Jun-21
7733,Gold,30-Jun-21
2897,Gold,30-Jun-21
4423,Gold,30-Jun-21
2126,Gold,30-Jun-21
3743,Gold,30-Jun-21
2990,Gold,30-Jun-21
2263,Gold,30-Jun-21
3917,Gold,30-Jun-21
10280,Gold,30-Jun-21
2385,Gold,30-Jun-21
3185,Gold,30-Jun-21
4336,Gold,30-Jun-21
2783,Gold,30-Jun-21
2588,Gold,30-Jun-21
3235,Gold,30-Jun-21
675,Gold,30-Jun-21
1043,Gold,30-Jun-21
3708,Gold,30-Jun-21
598,Gold,31-Jul-21
3767,Gold,31-Jul-21
180,Gold,31-Jul-21
2693,Gold,31-Jul-21
5213,Gold,31-Jul-21
5215,Gold,31-Jul-21
3681,Gold,31-Jul-21
3696,Gold,31-Jul-21
2041,Gold,31-Jul-21
10079,Gold,31-Jul-21
1929,Gold,31-Jul-21
387,Gold,31-Jul-21
8038,Gold,31-Jul-21
845,Gold,31-Jul-21
386,Gold,31-Jul-21
3811,Gold,31-Jul-21
10022,Gold,31-Jul-21
2063,Gold,31-Jul-21
3077,Gold,31-Jul-21
2099,Gold,31-Jul-21
2104,Gold,31-Jul-21
232,Gold,31-Jul-21
2908,Gold,31-Jul-21
1797,Gold,31-Jul-21
159,Gold,31-Jul-21
2731,Gold,31-Jul-21
6950,Gold,31-Jul-21
1116,Gold,31-Jul-21
438,Gold,31-Jul-21
4616,Gold,31-Jul-21
880,Gold,31-Jul-21
7745,Gold,31-Jul-21
882,Gold,31-Aug-21
1220,Gold,31-Aug-21
4296,Gold,31-Aug-21
718,Gold,31-Aug-21
4456,Gold,31-Aug-21
1026,Gold,31-Aug-21
4161,Gold,31-Aug-21
9235,Gold,31-Aug-21
1903,Gold,31-Aug-21
388,Gold,31-Aug-21
8039,Gold,31-Aug-21
2093,Gold,31-Aug-21
10558,Gold,31-Aug-21
2741,Gold,31-Aug-21
1843,Gold,31-Aug-21
2153,Gold,31-Aug-21
2927,Gold,31-Aug-21
2910,Gold,31-Aug-21
10065,Gold,31-Aug-21
2766,Gold,31-Aug-21
195,Gold,31-Aug-21
1763,Gold,31-Aug-21
5944,Gold,31-Aug-21
1515,Gold,31-Aug-21
673,Gold,31-Aug-21
641,Gold,31-Aug-21
6505,Gold,31-Aug-21
3485,Gold,31-Aug-21
2561,Gold,31-Aug-21
7045,Gold,31-Aug-21
3631,Gold,31-Aug-21
3325,Gold,31-Aug-21
3270,Gold,31-Aug-21
134,Gold,31-Aug-21
172,Gold,30-Sep-21
10613,Gold,30-Sep-21
122,Gold,30-Sep-21
8127,Gold,30-Sep-21
191,Gold,30-Sep-21
4337,Gold,30-Sep-21
276,Gold,30-Sep-21
303,Gold,30-Sep-21
307,Gold,30-Sep-21
373,Gold,30-Sep-21
5602,Gold,30-Sep-21
4585,Gold,30-Sep-21
537,Gold,30-Sep-21
2040,Gold,30-Sep-21
2371,Gold,30-Sep-21
2354,Gold,30-Sep-21
2845,Gold,30-Sep-21
2162,Gold,30-Sep-21
1230,Gold,30-Sep-21
2062,Gold,30-Sep-21
3102,Gold,30-Sep-21
1924,Gold,30-Sep-21
1379,Gold,30-Sep-21
3675,Gold,30-Sep-21
1507,Gold,30-Sep-21
1538,Gold,30-Sep-21
1555,Gold,30-Sep-21
1777,Gold,30-Sep-21
2800,Gold,30-Sep-21
4035,Gold,30-Sep-21
2460,Gold,30-Sep-21
4092,Gold,30-Sep-21
4099,Gold,30-Sep-21
34,Gold,31-Oct-21
3300,Gold,31-Oct-21
1795,Gold,31-Oct-21
2594,Gold,31-Oct-21
2646,Gold,31-Oct-21
7721,Gold,31-Oct-21
1841,Gold,31-Oct-21
3366,Gold,31-Oct-21
2599,Gold,31-Oct-21
478,Gold,31-Oct-21
3192,Gold,31-Oct-21
10243,Gold,31-Oct-21
1756,Gold,31-Oct-21
2760,Gold,31-Oct-21
10297,Gold,31-Oct-21
227,Gold,31-Oct-21
2237,Gold,31-Oct-21
2197,Gold,31-Oct-21
281,Gold,31-Oct-21
10404,Gold,31-Oct-21
2998,Gold,31-Oct-21
2118,Gold,31-Oct-21
3071,Gold,31-Oct-21
2421,Gold,31-Oct-21
2483,Gold,31-Oct-21
2057,Gold,31-Oct-21
878,Gold,31-Oct-21
1314,Gold,31-Oct-21
4066,Gold,31-Oct-21
696,Gold,31-Oct-21
4999,Gold,31-Oct-21
825,Gold,31-Oct-21
660,Gold,31-Oct-21
1097,Gold,31-Oct-21
877,Gold,31-Oct-21
1035,Gold,31-Oct-21
4010,Gold,31-Oct-21
4354,Gold,31-Oct-21
600,Gold,31-Oct-21
1208,Gold,30-Nov-21
993,Gold,30-Nov-21
2409,Gold,30-Nov-21
5180,Gold,30-Nov-21
1019,Gold,30-Nov-21
3956,Gold,30-Nov-21
8931,Gold,30-Nov-21
855,Gold,30-Nov-21
3012,Gold,30-Nov-21
1108,Gold,30-Nov-21
2963,Gold,30-Nov-21
2899,Gold,30-Nov-21
2310,Gold,30-Nov-21
3919,Gold,30-Nov-21
3204,Gold,30-Nov-21
1698,Gold,30-Nov-21
3377,Gold,30-Nov-21
1591,Gold,30-Nov-21
606,Gold,30-Nov-21
6062,Gold,30-Nov-21
3614,Gold,30-Nov-21
3705,Gold,30-Nov-21
2555,Gold,30-Nov-21
3724,Gold,30-Nov-21
3502,Gold,30-Nov-21
109,Gold,30-Nov-21
2537,Gold,30-Nov-21
6510,Gold,30-Nov-21
2000,Gold,30-Nov-21
4131,Gold,30-Nov-21
384,Gold,30-Nov-21
3725,Gold,30-Nov-21
361,Gold,31-Jan-22
3050,Gold,31-Jan-22
4078,Gold,31-Jan-22
1999,Gold,28-Feb-22
73,Gold,31-May-22
950,Gold,31-May-22
2282,Gold,31-May-22
3948,Gold,30-Jun-22
885,Gold,31-Jul-22
1605,Gold,31-Aug-22
2972,Gold,30-Sep-22
2554,Gold,30-Sep-22
1998,Gold,31-Oct-22
1944,Gold,31-Oct-22
7753,Gold,31-Oct-22
2581,Gold,31-Oct-22
3521,Gold,30-Nov-22
489,Gold,31-Dec-22
8212,Gold,31-Dec-22
2504,Gold,31-Dec-22
844,Gold,31-Dec-22
4377,Gold,31-Dec-22
8173,Silver,28-Feb-18
43,Silver,31-Mar-18
4245,Silver,31-Mar-18
11013,Silver,30-Apr-18
8260,Silver,30-Apr-18
4416,Silver,30-Apr-18
2189,Silver,30-Jun-18
3127,Silver,31-Jul-18
1360,Silver,31-Jul-18
441,Silver,31-Aug-18
4503,Silver,30-Sep-18
2675,Silver,31-Oct-18
523,Silver,31-Oct-18
3586,Silver,30-Nov-18
2059,Silver,30-Nov-18
1397,Silver,28-Feb-19
3909,Silver,28-Feb-19
9869,Silver,28-Feb-19
3279,Silver,28-Feb-19
1092,Silver,31-Mar-19
9265,Silver,31-Mar-19
1511,Silver,31-Mar-19
1032,Silver,30-Apr-19
6910,Silver,30-Apr-19
223,Silver,30-Apr-19
553,Silver,30-Jun-19
3609,Silver,31-Jul-19
3112,Silver,31-Jul-19
3476,Silver,31-Jul-19
128,Silver,31-Jul-19
8327,Silver,31-Jul-19
486,Silver,31-Jul-19
71,Silver,31-Aug-19
3788,Silver,31-Aug-19
998,Silver,30-Sep-19
1446,Silver,30-Sep-19
4863,Silver,30-Sep-19
2836,Silver,31-Oct-19
539,Silver,31-Oct-19
807,Silver,30-Nov-19
3807,Silver,30-Nov-19
3138,Silver,30-Nov-19
1914,Silver,30-Nov-19
3931,Silver,31-Dec-19
521,Silver,31-Dec-19
655,Silver,31-Dec-19
3051,Silver,31-Jan-20
3449,Silver,29-Feb-20
3806,Silver,31-Mar-20
6806,Silver,30-Apr-20
750,Silver,30-Apr-20
3010,Silver,30-Apr-20
1996,Silver,30-Apr-20
1500,Silver,31-May-20
3153,Silver,31-May-20
3949,Silver,31-May-20
1431,Silver,31-May-20
2143,Silver,30-Jun-20
554,Silver,30-Jun-20
2095,Silver,30-Jun-20
3386,Silver,31-Jul-20
3534,Silver,31-Jul-20
2699,Silver,31-Jul-20
3290,Silver,31-Aug-20
418,Silver,31-Aug-20
1243,Silver,30-Sep-20
9491,Silver,30-Sep-20
181,Silver,30-Nov-20
3114,Silver,30-Nov-20
351,Silver,31-Dec-20
144,Silver,31-Dec-20
2573,Silver,31-Dec-20
1194,Silver,31-Dec-20
2571,Silver,31-Dec-20
2540,Silver,31-Dec-20
3131,Silver,31-Dec-20
3294,Silver,31-Jan-21
3014,Silver,31-Jan-21
828,Silver,31-Jan-21
3877,Silver,31-Jan-21
610,Silver,31-Jan-21
6924,Silver,31-Jan-21
11186,Silver,31-Jan-21
5442,Silver,28-Feb-21
1007,Silver,28-Feb-21
311,Silver,28-Feb-21
1149,Silver,28-Feb-21
1654,Silver,28-Feb-21
969,Silver,31-Mar-21
2392,Silver,31-Mar-21
3181,Silver,31-Mar-21
10644,Silver,31-Mar-21
6592,Silver,31-Mar-21
756,Silver,31-Mar-21
3757,Silver,30-Apr-21
4159,Silver,30-Apr-21
1885,Silver,30-Apr-21
51,Silver,30-Apr-21
2441,Silver,30-Apr-21
3858,Silver,31-May-21
3359,Silver,31-May-21
7637,Silver,30-Jun-21
1700,Silver,30-Jun-21
3988,Silver,30-Jun-21
219,Silver,30-Jun-21
3003,Silver,30-Jun-21
4000,Silver,30-Jun-21
2637,Silver,30-Jun-21
371,Silver,30-Jun-21
10906,Silver,31-Jul-21
431,Silver,31-Jul-21
1678,Silver,31-Jul-21
1156,Silver,31-Aug-21
4105,Silver,31-Aug-21
1876,Silver,31-Aug-21
2200,Silver,31-Aug-21
1749,Silver,31-Aug-21
3375,Silver,31-Aug-21
3324,Silver,31-Aug-21
7049,Silver,30-Sep-21
5622,Silver,30-Sep-21
4132,Silver,30-Sep-21
3255,Silver,30-Sep-21
1764,Silver,30-Sep-21
2678,Silver,30-Sep-21
4102,Silver,30-Sep-21
139,Silver,31-Oct-21
3383,Silver,31-Oct-21
2050,Silver,31-Oct-21
2097,Silver,31-Oct-21
2749,Silver,31-Oct-21
8759,Silver,31-Oct-21
3727,Silver,31-Oct-21
2773,Silver,30-Nov-21
3848,Silver,30-Nov-21
1606,Silver,30-Nov-21
3633,Silver,30-Nov-21
689,Silver,30-Nov-21
3516,Silver,30-Nov-21
3883,Silver,31-Mar-22
2039,Silver,31-Aug-22
4264,Silver,30-Nov-22
862,Silver,30-Nov-22
2552,Silver,31-Dec-22
1649,Silver,31-Dec-22
1039,Diamond,31-Jan-18
33,Diamond,31-Aug-18
1547,Diamond,31-Oct-18
1345,Diamond,31-Oct-18
2219,Diamond,31-Dec-18
1495,Diamond,31-Mar-19
10411,Diamond,30-Jun-19
10520,Diamond,30-Jun-19
456,Diamond,30-Sep-19
3781,Diamond,31-Dec-19
2982,Diamond,31-Dec-19
1519,Diamond,31-Dec-19
3654,Diamond,31-Dec-19
2600,Diamond,31-Jan-20
3260,Diamond,31-Mar-20
7859,Diamond,31-May-20
1074,Diamond,31-May-20
904,Diamond,31-May-20
9203,Diamond,30-Jun-20
6030,Diamond,30-Jun-20
886,Diamond,31-Jul-20
1203,Diamond,31-Jul-20
2867,Diamond,31-Jul-20
2242,Diamond,31-Aug-20
738,Diamond,30-Sep-20
68,Diamond,30-Sep-20
5891,Diamond,30-Sep-20
3391,Diamond,30-Sep-20
3749,Diamond,30-Sep-20
2013,Diamond,31-Oct-20
1750,Diamond,31-Oct-20
1016,Diamond,30-Nov-20
1408,Diamond,30-Nov-20
1485,Diamond,30-Nov-20
3035,Diamond,30-Nov-20
3899,Diamond,31-Dec-20
2450,Diamond,31-Jan-21
2726,Diamond,31-Jan-21
468,Diamond,31-Jan-21
3163,Diamond,28-Feb-21
1417,Diamond,28-Feb-21
2328,Diamond,31-Mar-21
1378,Diamond,31-Mar-21
4361,Diamond,31-Mar-21
270,Diamond,31-Mar-21
4255,Diamond,31-Mar-21
6363,Diamond,30-Apr-21
1753,Diamond,30-Apr-21
940,Diamond,30-Apr-21
2547,Diamond,30-Apr-21
2444,Diamond,30-Apr-21
1910,Diamond,31-May-21
1867,Diamond,31-May-21
2695,Diamond,30-Jun-21
2410,Diamond,30-Jun-21
8856,Diamond,30-Jun-21
1466,Diamond,30-Jun-21
1204,Diamond,31-Jul-21
2796,Diamond,31-Jul-21
2824,Diamond,31-Jul-21
1695,Diamond,31-Jul-21
2466,Diamond,31-Jul-21
978,Diamond,31-Aug-21
7795,Diamond,31-Aug-21
10650,Diamond,31-Aug-21
2051,Diamond,31-Aug-21
2966,Diamond,31-Aug-21
2854,Diamond,31-Aug-21
1592,Diamond,31-Aug-21
1494,Diamond,31-Aug-21
7,Diamond,30-Sep-21
2598,Diamond,30-Sep-21
776,Diamond,30-Sep-21
1154,Diamond,30-Sep-21
1305,Diamond,30-Sep-21
3103,Diamond,30-Sep-21
4034,Diamond,30-Sep-21
2332,Diamond,31-Oct-21
1273,Diamond,31-Oct-21
3776,Diamond,31-Oct-21
4949,Diamond,30-Nov-21
2681,Diamond,30-Nov-21
10439,Diamond,30-Nov-21
9814,Diamond,30-Nov-21
577,Diamond,30-Nov-21
2592,Diamond,30-Nov-21
1779,Diamond,30-Nov-21
1963,Diamond,30-Nov-21
